Date,Actual Line Time
2016-06-20,17.0
2016-06-21,36.5
2016-06-22,23.0
2016-06-23,28.0
2016-06-24,
2016-06-25,53.0
2016-06-26,10.0
2016-06-27,
2016-06-28,
2016-06-29,24.5
2016-06-30,37.0
2016-07-01,40.0
2016-07-02,27.0
2016-07-03,32.25
2016-07-04,
2016-07-05,45.0
2016-07-06,9.0
2016-07-07,21.0
2016-07-08,49.5
2016-07-09,
2016-07-10,13.0
2016-07-11,
2016-07-12,
2016-07-13,
2016-07-14,24.5
2016-07-15,43.8
2016-07-16,32.0
2016-07-17,
2016-07-18,
2016-07-19,40.0
2016-07-20,44.5
2016-07-21,30.0
2016-07-22,75.0
2016-07-23,
2016-07-24,66.66666666666667
2016-07-25,14.0
2016-07-26,
2016-07-27,
2016-07-28,22.25
2016-07-29,
2016-07-30,15.0
2016-07-31,23.5
2016-08-01,32.0
2016-08-02,
2016-08-03,21.0
2016-08-04,
2016-08-05,36.333333333333336
2016-08-06,10.0
2016-08-07,13.0
2016-08-08,35.0
2016-08-09,13.0
2016-08-10,
2016-08-11,30.0
2016-08-12,
2016-08-13,
2016-08-14,28.5
2016-08-15,48.0
2016-08-16,
2016-08-17,27.0
2016-08-18,
2016-08-19,25.6
2016-08-20,
2016-08-21,30.5
2016-08-22,20.0
2016-08-23,6.5
2016-08-24,41.625
2016-08-25,30.5
2016-08-26,22.0
2016-08-27,24.5
2016-08-28,83.0
2016-08-29,24.0
2016-08-30,13.5
2016-08-31,37.0
2016-09-01,8.0
2016-09-02,
2016-09-03,16.0
2016-09-04,39.0
2016-09-05,15.0
2016-09-06,14.333333333333334
2016-09-07,11.0
2016-09-08,26.0
2016-09-09,
2016-09-10,
2016-09-11,28.0
2016-09-12,25.0
2016-09-13,5.0
2016-09-14,12.8
2016-09-15,16.0
2016-09-16,39.0
2016-09-17,
2016-09-18,8.5
2016-09-19,27.8
2016-09-20,25.5
2016-09-21,11.0
2016-09-22,20.555555555555557
2016-09-23,
2016-09-24,37.0
2016-09-25,14.25
2016-09-26,18.2
2016-09-27,10.75
2016-09-28,32.0
2016-09-29,15.0
2016-09-30,24.428571428571427
2016-10-01,
2016-10-02,17.0
2016-10-03,
2016-10-04,10.0
2016-10-05,36.5
2016-10-06,17.5
2016-10-07,
2016-10-08,31.5
2016-10-09,22.666666666666668
2016-10-10,11.0
2016-10-11,29.0
2016-10-12,16.0
2016-10-13,21.0
2016-10-14,47.5
2016-10-15,
2016-10-16,22.0
2016-10-17,45.0
2016-10-18,
2016-10-19,10.0
2016-10-20,47.0
2016-10-21,40.0
2016-10-22,45.0
2016-10-23,27.0
2016-10-24,36.333333333333336
2016-10-25,19.8
2016-10-26,20.0
2016-10-27,
2016-10-28,
2016-10-29,
2016-10-30,
2016-10-31,
2016-11-01,
2016-11-02,
2016-11-03,
2016-11-04,
2016-11-05,
2016-11-06,
2016-11-07,
2016-11-08,
2016-11-09,
2016-11-10,34.45454545454545
2016-11-11,39.0
2016-11-12,20.0
2016-11-13,22.0
2016-11-14,17.0
2016-11-15,28.0
2016-11-16,12.6
2016-11-17,26.0
2016-11-18,18.571428571428573
2016-11-19,
2016-11-20,22.333333333333332
2016-11-21,74.5
2016-11-22,45.333333333333336
2016-11-23,
2016-11-24,
2016-11-25,29.5
2016-11-26,
2016-11-27,
2016-11-28,25.0
2016-11-29,3.0
2016-11-30,8.0
2016-12-01,32.4
2016-12-02,28.0
2016-12-03,13.666666666666666
2016-12-04,33.0
2016-12-05,12.0
2016-12-06,36.0
2016-12-07,29.5
2016-12-08,40.5
2016-12-09,16.5
2016-12-10,15.0
2016-12-11,29.333333333333332
2016-12-12,68.5
2016-12-13,37.0
2016-12-14,
2016-12-15,39.333333333333336
2016-12-16,38.0
2016-12-17,29.333333333333332
2016-12-18,36.5
2016-12-19,49.0
2016-12-20,38.0
2016-12-21,22.0
2016-12-22,39.0
2016-12-23,12.0
2016-12-24,
2016-12-25,25.0
2016-12-26,7.0
2016-12-27,48.0
2016-12-28,18.0
2016-12-29,53.0
2016-12-30,12.0
2016-12-31,
2017-01-01,
2017-01-02,22.333333333333332
2017-01-03,22.0
2017-01-04,36.0
2017-01-05,51.5
2017-01-06,59.0
2017-01-07,40.0
2017-01-08,54.0
2017-01-09,55.25
2017-01-10,
2017-01-11,18.0
2017-01-12,
2017-01-13,20.333333333333332
2017-01-14,83.0
2017-01-15,
2017-01-16,80.0
2017-01-17,21.5
2017-01-18,24.5
2017-01-19,29.0
2017-01-20,23.0
2017-01-21,63.0
2017-01-22,
2017-01-23,
2017-01-24,17.5
2017-01-25,
2017-01-26,13.0
2017-01-27,27.0
2017-01-28,45.6
2017-01-29,11.0
2017-01-30,36.5
2017-01-31,
2017-02-01,11.666666666666666
2017-02-02,
2017-02-03,19.0
2017-02-04,
2017-02-05,
2017-02-06,47.0
2017-02-07,16.25
2017-02-08,
2017-02-09,8.0
2017-02-10,49.0
2017-02-11,4.0
2017-02-12,
2017-02-13,18.0
2017-02-14,20.25
2017-02-15,19.0
2017-02-16,
2017-02-17,
2017-02-18,24.0
2017-02-19,25.0
2017-02-20,51.5
2017-02-21,49.333333333333336
2017-02-22,27.666666666666668
2017-02-23,32.0
2017-02-24,25.5
2017-02-25,20.0
2017-02-26,36.5
2017-02-27,48.666666666666664
2017-02-28,15.0
2017-03-01,29.0
2017-03-02,15.333333333333334
2017-03-03,22.0
2017-03-04,48.0
2017-03-05,42.333333333333336
2017-03-06,15.2
2017-03-07,105.0
2017-03-08,47.5
2017-03-09,58.0
2017-03-10,20.0
2017-03-11,
2017-03-12,51.0
2017-03-13,31.0
2017-03-14,83.0
2017-03-15,128.0
2017-03-16,27.0
2017-03-17,27.5
2017-03-18,22.0
2017-03-19,29.5
2017-03-20,50.0
2017-03-21,31.0
2017-03-22,29.0
2017-03-23,16.0
2017-03-24,19.0
2017-03-25,56.0
2017-03-26,28.0
2017-03-27,51.0
2017-03-28,78.5
2017-03-29,45.666666666666664
2017-03-30,35.0
2017-03-31,39.0
2017-04-01,12.0
2017-04-02,35.4
2017-04-03,
2017-04-04,47.0
2017-04-05,
2017-04-06,42.0
2017-04-07,17.0
2017-04-08,51.0
2017-04-09,59.0
2017-04-10,38.5
2017-04-11,
2017-04-12,
2017-04-13,56.0
2017-04-14,22.0
2017-04-15,70.0
2017-04-16,20.0
2017-04-17,
2017-04-18,
2017-04-19,40.666666666666664
2017-04-20,60.0
2017-04-21,29.0
2017-04-22,8.0
2017-04-23,23.5
2017-04-24,27.666666666666668
2017-04-25,16.5
2017-04-26,11.0
2017-04-27,22.5
2017-04-28,22.0
2017-04-29,72.0
2017-04-30,13.0
2017-05-01,
2017-05-02,20.333333333333332
2017-05-03,
2017-05-04,37.0
2017-05-05,29.75
2017-05-06,47.0
2017-05-07,25.0
2017-05-08,37.0
2017-05-09,19.0
2017-05-10,29.5
2017-05-11,33.5
2017-05-12,31.0
2017-05-13,56.0
2017-05-14,18.666666666666668
2017-05-15,
2017-05-16,
2017-05-17,
2017-05-18,23.5
2017-05-19,36.0
2017-05-20,32.0
2017-05-21,13.0
2017-05-22,13.0
2017-05-23,78.0
2017-05-24,14.0
2017-05-25,30.0
2017-05-26,14.0
2017-05-27,31.0
2017-05-28,
2017-05-29,31.0
2017-05-30,
2017-05-31,39.666666666666664
2017-06-01,20.0
2017-06-02,48.0
2017-06-03,24.0
2017-06-04,48.0
2017-06-05,47.333333333333336
2017-06-06,44.5
2017-06-07,16.0
2017-06-08,43.666666666666664
2017-06-09,
2017-06-10,43.0
2017-06-11,24.666666666666668
2017-06-12,54.0
2017-06-13,11.25
2017-06-14,27.0
2017-06-15,11.5
2017-06-16,27.0
2017-06-17,21.0
2017-06-18,
2017-06-19,56.0
2017-06-20,22.0
2017-06-21,74.0
2017-06-22,11.6
2017-06-23,
2017-06-24,89.0
2017-06-25,21.0
2017-06-26,
2017-06-27,
2017-06-28,46.333333333333336
2017-06-29,35.5
2017-06-30,57.0
2017-07-01,58.0
2017-07-02,23.0
2017-07-03,32.0
2017-07-04,
2017-07-05,20.0
2017-07-06,28.333333333333332
2017-07-07,21.5
2017-07-08,
2017-07-09,41.0
2017-07-10,
2017-07-11,22.0
2017-07-12,
2017-07-13,
2017-07-14,17.0
2017-07-15,61.0
2017-07-16,
2017-07-17,47.666666666666664
2017-07-18,34.0
2017-07-19,23.0
2017-07-20,31.0
2017-07-21,24.666666666666668
2017-07-22,
2017-07-23,
2017-07-24,
2017-07-25,22.0
2017-07-26,
2017-07-27,28.0
2017-07-28,
