date,SACTMIN,Ride
2015-11-07,18.666666666666668,Rock N Rollercoaster
2015-11-08,42.5,Rock N Rollercoaster
2015-11-09,25.25,Rock N Rollercoaster
2015-11-10,21.333333333333332,Rock N Rollercoaster
2015-11-11,46.5,Rock N Rollercoaster
2015-11-12,27.833333333333332,Rock N Rollercoaster
2015-11-13,33.666666666666664,Rock N Rollercoaster
2015-11-14,23.6,Rock N Rollercoaster
2015-11-15,34.0,Rock N Rollercoaster
2015-11-16,28.25,Rock N Rollercoaster
2015-11-17,24.333333333333332,Rock N Rollercoaster
2015-11-18,39.6,Rock N Rollercoaster
2015-11-19,20.285714285714285,Rock N Rollercoaster
2015-11-20,20.333333333333332,Rock N Rollercoaster
2015-11-21,32.4,Rock N Rollercoaster
2015-11-22,25.5,Rock N Rollercoaster
2015-11-23,15.666666666666666,Rock N Rollercoaster
2015-11-24,19.0,Rock N Rollercoaster
2015-11-25,41.0,Rock N Rollercoaster
2015-11-26,43.0,Rock N Rollercoaster
2015-11-27,42.0,Rock N Rollercoaster
2015-11-28,11.0,Rock N Rollercoaster
2015-11-29,26.666666666666668,Rock N Rollercoaster
2015-11-30,42.0,Rock N Rollercoaster
2015-12-01,17.8,Rock N Rollercoaster
2015-12-02,18.625,Rock N Rollercoaster
2015-12-03,14.0,Rock N Rollercoaster
2015-12-04,28.666666666666668,Rock N Rollercoaster
2015-12-05,26.75,Rock N Rollercoaster
2015-12-06,,Rock N Rollercoaster
2015-12-07,12.666666666666666,Rock N Rollercoaster
2015-12-08,19.0,Rock N Rollercoaster
2015-12-09,12.5,Rock N Rollercoaster
2015-12-10,18.0,Rock N Rollercoaster
2015-12-11,33.0,Rock N Rollercoaster
2015-12-12,10.3,Rock N Rollercoaster
2015-12-13,26.125,Rock N Rollercoaster
2015-12-14,31.0,Rock N Rollercoaster
2015-12-15,28.333333333333332,Rock N Rollercoaster
2015-12-16,18.6,Rock N Rollercoaster
2015-12-17,26.8,Rock N Rollercoaster
2015-12-18,39.42857142857143,Rock N Rollercoaster
2015-12-19,39.666666666666664,Rock N Rollercoaster
2015-12-20,65.0,Rock N Rollercoaster
2015-12-21,35.8,Rock N Rollercoaster
2015-12-22,75.5,Rock N Rollercoaster
2015-12-23,35.0,Rock N Rollercoaster
2015-12-24,20.75,Rock N Rollercoaster
2015-12-25,,Rock N Rollercoaster
2015-12-26,,Rock N Rollercoaster
